"system_id","last_reported","station_id","num_bikes_available","num_docks_available","is_installed","is_renting","is_returning","name","short_name","address","lat","lon","region_id","capacity"
"dublin_bikes","2024-06-15 00:05:00","101",22,8,true,true,true,"KING STREET NORTH","","King Street North",53.350292,-6.273507,"",30
"dublin_bikes","2024-06-15 00:05:00","102",11,29,true,true,true,"WESTERN WAY","","Western Way",53.35493,-6.269425,"",40
"dublin_bikes","2024-06-15 00:05:00","106",24,16,true,true,true,"RATHDOWN ROAD","","Rathdown Road",53.35893,-6.280337,"",40
"dublin_bikes","2024-06-15 00:05:00","107",4,36,true,true,true,"CHARLEVILLE ROAD","","Charleville Road",53.359158,-6.281866,"",40
"dublin_bikes","2024-06-15 00:05:00","11",1,29,true,true,true,"EARLSFORT TERRACE","","Earlsfort Terrace",53.334293,-6.258503,"",30
"dublin_bikes","2024-06-15 00:05:00","111",1,39,true,true,true,"MOUNTJOY SQUARE EAST","","Mountjoy Square East",53.356716,-6.256359,"",40
"dublin_bikes","2024-06-15 00:05:00","116",7,23,true,true,true,"BROADSTONE","","Broadstone",53.3547,-6.272314,"",30
"dublin_bikes","2024-06-15 00:05:00","117",1,39,true,true,true,"HANOVER QUAY EAST","","Hanover Quay East",53.343655,-6.231755,"",40
"dublin_bikes","2024-06-15 00:05:00","12",6,14,true,true,true,"ECCLES STREET","","Eccles Street",53.359245,-6.269779,"",20
"dublin_bikes","2024-06-15 00:05:00","16",6,14,true,true,true,"GEORGES QUAY","","Georges Quay",53.347507,-6.252192,"",20
"dublin_bikes","2024-06-15 00:05:00","21",26,4,true,true,true,"LEINSTER STREET SOUTH","","Leinster Street South",53.34218,-6.254485,"",30
"dublin_bikes","2024-06-15 00:05:00","36",1,39,true,true,true,"ST. STEPHEN'S GREEN EAST","","St. Stephen's Green East",53.337826,-6.256035,"",40
"dublin_bikes","2024-06-15 00:05:00","37",3,27,true,true,true,"ST. STEPHEN'S GREEN SOUTH","","St. Stephen's Green South",53.337494,-6.26199,"",30
"dublin_bikes","2024-06-15 00:05:00","40",13,8,true,true,true,"JERVIS STREET","","Jervis Street",53.3483,-6.266651,"",21
"dublin_bikes","2024-06-15 00:05:00","41",9,11,true,true,true,"HARCOURT TERRACE","","Harcourt Terrace",53.332764,-6.257942,"",20
"dublin_bikes","2024-06-15 00:05:00","47",1,39,true,true,true,"HERBERT STREET","","Herbert Street",53.335743,-6.24551,"",40
